An,Ag,As,q
1.188928892889e-02,3.128505053423e-03,4.931501412986e-02,1.576312433183e+01
1.198919891989e-02,3.154795011855e-03,4.951971563539e-02,1.569665079642e+01
1.208910891089e-02,3.181084970287e-03,4.972357793736e-02,1.563101218666e+01
1.218901890189e-02,3.207374928720e-03,4.992661241258e-02,1.556619151865e+01
1.228892889289e-02,3.233664887152e-03,5.012883019687e-02,1.550217228633e+01
1.238883888389e-02,3.259954845584e-03,5.033024219195e-02,1.543893844423e+01
1.248874887489e-02,3.286244804016e-03,5.053085907219e-02,1.537647439121e+01
1.258865886589e-02,3.312534762448e-03,5.073069129106e-02,1.531476495467e+01
1.268856885689e-02,3.338824720880e-03,5.092974908739e-02,1.525379537563e+01
1.278847884788e-02,3.365114679312e-03,5.112804249132e-02,1.519355129430e+01
1.288838883888e-02,3.391404637744e-03,5.132558133019e-02,1.513401873636e+01
1.298829882988e-02,3.417694596177e-03,5.152237523405e-02,1.507518409974e+01
1.308820882088e-02,3.443984554609e-03,5.171843364110e-02,1.501703414201e+01
1.318811881188e-02,3.470274513041e-03,5.191376580292e-02,1.495955596822e+01
1.328802880288e-02,3.496564471473e-03,5.210838078945e-02,1.490273701932e+01
1.338793879388e-02,3.522854429905e-03,5.230228749391e-02,1.484656506097e+01
1.348784878488e-02,3.549144388337e-03,5.249549463747e-02,1.479102817287e+01
1.358775877588e-02,3.575434346769e-03,5.268801077376e-02,1.473611473844e+01
1.368766876688e-02,3.601724305201e-03,5.287984429333e-02,1.468181343502e+01
1.378757875788e-02,3.628014263634e-03,5.307100342783e-02,1.462811322431e+01
1.388748874887e-02,3.654304222066e-03,5.326149625413e-02,1.457500334332e+01
1.398739873987e-02,3.680594180498e-03,5.345133069830e-02,1.452247329562e+01
1.408730873087e-02,3.706884138930e-03,5.364051453945e-02,1.447051284288e+01
1.418721872187e-02,3.733174097362e-03,5.382905541341e-02,1.441911199680e+01
1.428712871287e-02,3.759464055794e-03,5.401696081639e-02,1.436826101134e+01
1.438703870387e-02,3.785754014226e-03,5.420423810841e-02,1.431795037520e+01
1.448694869487e-02,3.812043972658e-03,5.439089451671e-02,1.426817080465e+01
1.458685868587e-02,3.838333931091e-03,5.457693713898e-02,1.421891323652e+01
1.468676867687e-02,3.864623889523e-03,5.476237294655e-02,1.417016882161e+01
1.478667866787e-02,3.890913847955e-03,5.494720878747e-02,1.412192891815e+01
1.488658865887e-02,3.917203806387e-03,5.513145138946e-02,1.407418508569e+01
1.498649864986e-02,3.943493764819e-03,5.531510736278e-02,1.402692907905e+01
1.508640864086e-02,3.969783723251e-03,5.549818320308e-02,1.398015284259e+01
1.518631863186e-02,3.996073681683e-03,5.568068529406e-02,1.393384850467e+01
1.528622862286e-02,4.022363640115e-03,5.586261991011e-02,1.388800837224e+01
1.538613861386e-02,4.048653598548e-03,5.604399321889e-02,1.384262492573e+01
1.548604860486e-02,4.074943556980e-03,5.622481128376e-02,1.379769081401e+01
1.558595859586e-02,4.101233515412e-03,5.640508006624e-02,1.375319884963e+01
1.568586858686e-02,4.127523473844e-03,5.658480542828e-02,1.370914200412e+01
1.578577857786e-02,4.153813432276e-03,5.676399313459e-02,1.366551340354e+01
1.588568856886e-02,4.180103390708e-03,5.694264885480e-02,1.362230632414e+01
1.598559855986e-02,4.206393349140e-03,5.712077816560e-02,1.357951418815e+01
1.608550855086e-02,4.232683307572e-03,5.729838655283e-02,1.353713055979e+01
1.618541854185e-02,4.258973266005e-03,5.747547941350e-02,1.349514914129e+01
1.628532853285e-02,4.285263224437e-03,5.765206205774e-02,1.345356376919e+01
1.638523852385e-02,4.311553182869e-03,5.782813971071e-02,1.341236841064e+01
1.648514851485e-02,4.337843141301e-03,5.800371751445e-02,1.337155715987e+01
1.658505850585e-02,4.364133099733e-03,5.817880052970e-02,1.333112423479e+01
1.668496849685e-02,4.390423058165e-03,5.835339373763e-02,1.329106397369e+01
1.678487848785e-02,4.416713016597e-03,5.852750204157e-02,1.325137083203e+01
1.688478847885e-02,4.443002975029e-03,5.870113026865e-02,1.321203937935e+01
1.698469846985e-02,4.469292933462e-03,5.887428317139e-02,1.317306429628e+01
1.708460846085e-02,4.495582891894e-03,5.904696542935e-02,1.313444037164e+01
1.718451845185e-02,4.521872850326e-03,5.921918165057e-02,1.309616249964e+01
1.728442844284e-02,4.548162808758e-03,5.939093637313e-02,1.305822567714e+01
1.738433843384e-02,4.574452767190e-03,5.956223406652e-02,1.302062500103e+01
1.748424842484e-02,4.600742725622e-03,5.973307913315e-02,1.298335566570e+01
1.758415841584e-02,4.627032684054e-03,5.990347590965e-02,1.294641296053e+01
1.768406840684e-02,4.653322642487e-03,6.007342866822e-02,1.290979226751e+01
